"id","text","createdAt"
1,"Netflix FINT chicken republic Uber Nigeria piggyvest","2025-07-08 21:34:53.785346"
2,"Hulu KiaKia Sharwama Bolt Nigeria wealthng","2025-07-08 21:34:53.785355"
3,"Disney+ Migo Amala joint Oga Taxi chaka tech","2025-07-08 21:34:53.785357"
4,"HBO Max Lidya Nkwobi spot Lyft Nigeria trove tech","2025-07-08 21:34:53.785358"
5,"YouTube FINT Small chops InDriver Nigeria mutual fund","2025-07-08 21:34:53.785360"
6,"Apple TV+ Kwaba Chicken Republic GoKada fsdh","2025-07-08 21:34:53.785361"
7,"Peacock Lendha Kilimanjaro MaxOkada axa mansard","2025-07-08 21:34:53.785362"
8,"Paramount+ Owoafara Mr Bigg's SafeBoda thrive agric","2025-07-08 21:34:53.785363"
9,"Tubi Zippy Capital Tantalizers Taxify farmfunded","2025-07-08 21:34:53.785365"
10,"Vudu Soko Loan Tastee Fried Chicken PickMeUp agrilet","2025-07-08 21:34:53.785366"
11,"FuboTV Xcrosscash Sweet Sensation Little Cab Nigeria crowdyvest","2025-07-08 21:34:53.785367"
12,"Crackle EaseMoni KFC Nigeria SwiftRide agririte","2025-07-08 21:34:53.785368"
13,"Rakuten TV OKash Dominos Pizza Nigeria Uber farmsponsor","2025-07-08 21:34:53.785369"
14,"Mubi CashLion Mega Chicken Bolt farm360","2025-07-08 21:34:53.785370"
15,"Shudder GoCash Debonairs Pizza inDrive westagro","2025-07-08 21:34:53.785372"
16,"Sling TV RenMoney Johnny Rockets Rida farmcrowdy","2025-07-08 21:34:53.785373"
17,"iROKOtv Lidya Barcelos Treepz risevest","2025-07-08 21:34:53.785374"
18,"Showmax Nigeria FairMoney NOK by Alára Shuttlers kolopay","2025-07-08 21:34:53.785375"
19,"OnDemand Africa QuickCheck RSVP Lagos Xend smart save","2025-07-08 21:34:53.785377"
20,"Kwese Play PalmCredit Z Kitchen Lite (Literide) meristem","2025-07-08 21:34:53.785378"
21,"Afrinolly Zedvance La Veranda Gomyway vetiva","2025-07-08 21:34:53.785379"
22,"TVC Play C24 Thai Thai Staffbus cordros","2025-07-08 21:34:53.785380"
23,"Nollywood TV Okash Lagosia Hytch pettysave","2025-07-08 21:34:53.785381"
24,"Viewza Credit Direct SLoW Cliqcab cititrust","2025-07-08 21:34:53.785383"
25,"Pulse TV KiaKia Kohinoor Lagos Along Transport arm securities","2025-07-08 21:34:53.785384"
26,"Netflix Carbon Circa Lagos Drop Innovations aiico","2025-07-08 21:34:53.785385"
27,"Hulu Aella Danfo Bistro Jumia Logistics de lords securities","2025-07-08 21:34:53.785386"
28,"Disney+ Specta Bay Lounge GIG Logistics core securities","2025-07-08 21:34:53.785387"
29,"HBO Max ALAT Sailor's Lounge Konga Express kinley securities","2025-07-08 21:34:53.785389"
30,"YouTube Pay Later E-Bar DHL Nigeria apt securities","2025-07-08 21:34:53.785390"
31,"Apple TV+ INTEREST 788 on the Sea FedEx Nigeria cardinalstone","2025-07-08 21:34:53.785391"
32,"Peacock SOKOLENDINfairmoneyPlamcr9credi Road Chef UPS Nigeria norrenberger","2025-07-08 21:34:53.785392"
33,"Paramount+ FairMoney La Taverna Restaurant Tranex passfolio","2025-07-08 21:34:53.785394"
34,"Tubi Carbon La Giara Restaurant Max.ng prominent securities","2025-07-08 21:34:53.785395"
35,"Vudu Branch Oriental Garden Oship first trustees","2025-07-08 21:34:53.785396"
36,"FuboTV Palmcredit Sawadee Restaurant Sendy fbnquest","2025-07-08 21:34:53.785397"
37,"Crackle QuickCheck Bangkok Thai Restaurant Jovago fbn money market","2025-07-08 21:34:53.785398"
38,"Rakuten TV Aella Credit Bungalow Restaurant NIPOST fbn capital asset","2025-07-08 21:34:53.785399"
39,"Mubi KiaKia Terra Kulture Lapo Express union trustees","2025-07-08 21:34:53.785400"
40,"Shudder Migo BluCabana GoKada Logistics fixed dep","2025-07-08 21:34:53.785402"
41,"Sling TV Lidya Izanagi Japanese Restaurant Kobo360 credit assist invest","2025-07-08 21:34:53.785403"
42,"iROKOtv FINT Shiro Restaurant & Bar Yeloha capital one investment","2025-07-08 21:34:53.785404"
43,"Showmax Nigeria Kwaba Talindo Steakhouse Shuttlers anchoria invest","2025-07-08 21:34:53.785543"
44,"OnDemand Africa Lendha Kaly Easy Truck zara capital","2025-07-08 21:34:53.785545"
45,"Kwese Play Owoafara XO Bakery PostaPlus creditcrest","2025-07-08 21:34:53.785547"
46,"Afrinolly Zippy Capital Àjọjẹ Swift Transport uba money market","2025-07-08 21:34:53.785548"
47,"TVC Play Soko Loan food delivery DHL Nigeria ibtc money market","2025-07-08 21:34:53.785549"
48,"Nollywood TV Xcrosscash restaurant near me GIG Logistics ibtc asset","2025-07-08 21:34:53.785551"
49,"Viewza EaseMoni fast food deals Red Star Express coronation money market","2025-07-08 21:34:53.785552"
50,"Pulse TV OKash grocery shopping online UPS Nigeria csl stockbrokers","2025-07-08 21:34:53.785553"
51,"Netflix CashLion cake shop ABC Transport legacy money market","2025-07-08 21:34:53.785554"
52,"Hulu GoCash ice cream parlor Tranex abacus money market","2025-07-08 21:34:53.785556"
53,"Disney+ RenMoney pizza hut deals Intercity.ng edc nigeria money market","2025-07-08 21:34:53.785557"
54,"HBO Max Lidya birthday cake delivery CourierPlus money market fund","2025-07-08 21:34:53.785558"
55,"YouTube FairMoney Browns Café & Restaurant Zenith Carex International Limited icon stockbrokers","2025-07-08 21:34:53.785560"
56,"Apple TV+ QuickCheck Ocean Basket Kxpress Logistics trw stockbrokers","2025-07-08 21:34:53.785564"
57,"Peacock PalmCredit The Bungalow Restaurant Kobo360 horizon stockbrokers","2025-07-08 21:34:53.785566"
58,"Paramount+ Zedvance Terra Kulture Food Lounge Intels Nigeria fsl asset","2025-07-08 21:34:53.785567"
59,"Tubi C24 Metisse Transport Services Limited (TSL) cowry asset","2025-07-08 21:34:53.785569"
60,"Vudu Okash BluCabana Restaurant & Cafe Starlink Global Solutions united capital asset","2025-07-08 21:34:53.785570"
