"id","text","createdAt"
1,"Access Pension Fund Custodian payment for medical center charges via gt bank with airtime top-up on MTN Nigeria and Spotify subscription.","2025-07-08 22:06:15.433922"
2,"Fidelity Pension Managers health insurance premium paid at first bank, including internet data for Globacom and Apple Music subscription.","2025-07-08 22:06:15.433931"
3,"Investment One Pension Managers contribution for diagnostics center services through GTBank, with airtime purchase for 9mobile and Tidal access.","2025-07-08 22:06:15.433933"
4,"Leadway Pensure Pension Fund Custodian withdrawal for specialist hospital bill at union bank, coupled with FiberOne Broadband Ltd and Deezer.","2025-07-08 22:06:15.433934"
5,"Trustfund Pension Plc remittance for emergency room visit handled by standard chartered, alongside airtime for Airtel Nigeria and Pandora music.","2025-07-08 22:06:15.433936"
6,"AIICO Pension Managers disbursement for pharmacy expenses via sterling, featuring internet from Spectranet and SoundCloud listening.","2025-07-08 22:06:15.433937"
7,"UBA Pension Custodian settlement for meds at wema, combined with airtime for Ntel and Napster subscription.","2025-07-08 22:06:15.433938"
8,"Access ARM Pensions Limited transfer for prescription costs through ALAT, and internet from Smile Communications with Google Play Music.","2025-07-08 22:06:15.433939"
9,"Cardinal Stone Pensions Limited payment for supplements at access bank, plus airtime recharge for MTN Nigeria and iHeartRadio streaming.","2025-07-08 22:06:15.433941"
10,"Crusader Sterling Pensions Limited for covid test at first bank, including FiberOne Broadband Ltd internet and Qobuz.","2025-07-08 22:06:15.433942"
11,"FCMB Pensions Limited contribution for x-ray at GTBank, along with airtime for Globacom and Boomplay music.","2025-07-08 22:06:15.433943"
12,"Pensions Alliance Limited (PAL Pensions) for scan done at union bank, featuring ipNX Nigeria Ltd and Audiomack.","2025-07-08 22:06:15.433944"
13,"Premium Pension Limited payment for MRI at standard chartered, with airtime for 9mobile and Mdundo.","2025-07-08 22:06:15.433946"
14,"Stanbic IBTC Pension Managers Limited for bloodwork at sterling, powered by Spectranet and Spinlet.","2025-07-08 22:06:15.433947"
15,"Guaranty Trust Pension for CT scan at wema, including internet for Broadbased Communication Ltd and NaijaVibes.","2025-07-08 22:06:15.433948"
16,"Sigma Pensions for ultrasound at ALAT, and airtime for Airtel Nigeria alongside UduX.","2025-07-08 22:06:15.433949"
17,"Zenith Pensions payment for medical test via access bank, coupled with Starlink Internet Services Nigeria Ltd and Patraon payment.","2025-07-08 22:06:15.433950"
18,"First Guarantee Pension Ltd for wellness check-up at first bank, with internet for Tizeti Network Ltd and Spotify Premium.","2025-07-08 22:06:15.433952"
19,"Nova Pensions for HMO checkup through GTBank, featuring airtime for MTN Nigeria and YouTube Music.","2025-07-08 22:06:15.433953"
20,"NUPMCO Pensions Limited for health insurance premium paid at union bank, and internet from Ngcom Ltd with Amazon Music.","2025-07-08 22:06:15.433954"
21,"NLPC PFA Limited for medicare copay at standard chartered, alongside airtime for Globacom and Deezer subscription.","2025-07-08 22:06:15.433955"
22,"Norrenberger Pensions Limited for medicaid payment through sterling, also with airtime for 9mobile and Tidal.","2025-07-08 22:06:15.433956"
23,"NPF Pensions Limited for healthcare plan at wema, featuring internet from VDT Communications Ltd and Pandora Radio.","2025-07-08 22:06:15.433958"
24,"Oak Pensions Limited for premium payment via ALAT, with airtime for Airtel Nigeria and SoundCloud streaming.","2025-07-08 22:06:15.433959"
25,"PAL Pensions Limited for general hospital visit at access bank, including airtime for Ntel and Napster.","2025-07-08 22:06:15.433960"
26,"Tangerine APT Pensions Limited for tuberculosis treatment at first bank, and internet from Smile Communications with Spotify.","2025-07-08 22:06:15.433961"
27,"Trustfund Pensions Limited for yellow fever vaccine at GTBank, featuring airtime for MTN Nigeria and Apple Music.","2025-07-08 22:06:15.433963"
28,"Vesta Pension Limited for covid vaccination at union bank, with internet from FiberOne Broadband Ltd and Amazon Music.","2025-07-08 22:06:15.433964"
29,"retirement fund withdrawal for general hospital at standard chartered, coupled with airtime for Globacom and YouTube Music.","2025-07-08 22:06:15.433965"
30,"retiree benefits for teaching hospital at sterling, alongside internet from Spectranet and Deezer.","2025-07-08 22:06:15.433966"
31,"Access Pension Fund Custodian for medical center consultation via wema, with airtime for 9mobile and Tidal.","2025-07-08 22:06:15.433967"
